"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\coolpc\Desktop\sunduzhoca-com-backend\src\routes\user_routes.rs", "Rust", 16, 1, 5, 22
"Total", "-", 16, 1, 5, 22
